date, pm25, pm10, o3, no2, so2, co
2018/12/30, 25, 23, , , , 
2018/12/31, 38, , , , , 
2018/7/2, 37, , , , , 
2018/7/3, 22, , , , , 
2018/7/4, 34, , , , , 
2018/7/6, 39, , , , , 
2018/7/7, 33, , , , , 
2018/7/8, 26, , , , , 
2018/7/9, 75, , , , , 
2018/7/10, 96, , , , , 
2018/7/11, 87, , , , , 
2018/7/12, 64, , , , , 
2018/7/13, 72, , , , , 
2018/7/14, 64, , , , , 
2018/7/15, 57, , , , , 
2018/7/16, 55, , , , , 
2018/7/17, 76, , , , , 
2018/7/18, 56, , , , , 
2018/7/19, 60, , , , , 
2018/7/20, 58, , , , , 
2018/7/21, 65, , , , , 
2018/7/22, 76, , , , , 
2018/7/23, 59, , , , , 
2018/7/24, 59, , , , , 
2018/7/25, 85, , , , , 
2018/7/26, 70, , , , , 
2018/7/27, 96, , , , , 
2018/7/29, 50, , , , , 
2018/7/30, 54, , , , , 
2018/7/31, 76, , , , , 
2018/8/1, 70, , , , , 
2018/8/2, 79, , , , , 
2018/8/3, 91, , , , , 
2018/8/4, 60, , , , , 
2018/8/5, 72, , , , , 
2018/8/6, 75, , , , , 
2018/8/7, 53, , , , , 
2018/8/8, 47, , , , , 
2018/8/9, 61, , , , , 
2018/8/10, 115, , , , , 
2018/8/11, 139, , , , , 
2018/8/12, 120, , , , , 
2018/8/13, 73, , , , , 
2018/8/14, 60, , , , , 
2018/8/15, 73, , , , , 
2018/8/16, 82, , , , , 
2018/8/17, 75, , , , , 
2018/8/18, 76, , , , , 
2018/8/19, 61, , , , , 
2018/8/20, 68, , , , , 
2018/8/21, 78, , , , , 
2018/8/22, 92, , , , , 
2018/8/23, 79, , , , , 
2018/8/24, 63, , , , , 
2018/8/25, 65, , , , , 
2018/8/26, 73, , , , , 
2018/8/27, 66, , , , , 
2018/8/28, 62, , , , , 
2018/8/29, 63, , , , , 
2018/8/30, 64, , , , , 
2018/8/31, 80, , , , , 
2018/9/1, 53, , , , , 
2018/9/2, 61, , , , , 
2018/9/3, 69, , , , , 
2018/9/4, 61, , , , , 
2018/9/5, 68, , , , , 
2018/9/6, 59, , , , , 
2018/9/7, 60, , , , , 
2018/9/8, 65, , , , , 
2018/9/9, 60, , , , , 
2018/9/10, 77, , , , , 
2018/9/11, 100, , , , , 
2018/9/12, 72, , , , , 
2018/9/13, 69, , , , , 
2018/9/14, 66, , , , , 
2018/9/15, 75, , , , , 
2018/9/16, 77, , , , , 
2018/9/17, 68, , , , , 
2018/9/18, 41, , , , , 
2018/9/19, 46, , , , , 
2018/9/20, 47, , , , , 
2018/9/21, 41, , , , , 
2018/9/22, 52, , , , , 
2018/9/23, 40, , , , , 
2018/9/24, 54, , , , , 
2018/9/25, 56, , , , , 
2018/9/26, 63, , , , , 
2018/9/27, 75, , , , , 
2018/9/28, 61, , , , , 
2018/9/29, 37, , , , , 
2018/9/30, 45, , , , , 
2018/10/1, 53, , , , , 
2018/4/2, 62, , , , , 
2018/4/3, 70, , , , , 
2018/4/4, 64, , , , , 
2018/4/5, 73, , , , , 
2018/4/6, 76, , , , , 
2018/4/7, 66, , , , , 
2018/4/8, 76, , , , , 
