date, pm25, pm10, o3, no2, so2, co
2015/3/22, 18, 8, , 5, 2, 11
2015/3/23, 15, 6, , 10, 6, 11
2015/3/24, 12, 12, , 16, 4, 17
2015/3/25, 17, 20, , 13, 6, 19
2015/3/26, 35, 10, , 9, 3, 12
2015/3/27, 20, 10, , 12, 4, 16
2015/3/28, 18, 11, , 7, 4, 16
2015/3/29, 19, 8, , 5, 7, 20
2015/3/30, 14, 8, , 5, 12, 26
2015/3/31, 12, 10, , 10, 7, 15
2015/4/1, 15, 11, , 9, 5, 15
2014/10/2, 62, 50, , 5, 12, 18
2014/10/3, 63, 32, , 5, 7, 16
2014/10/4, 35, 39, , 5, 9, 19
2014/10/5, 47, 38, , 4, 7, 20
2014/10/6, 51, 40, , 7, 12, 18
2014/10/7, 50, 55, , 6, 20, 23
2014/10/8, 55, 56, , 3, 8, 21
2014/10/9, 50, 40, , 7, 14, 22
2014/10/10, 40, 49, , 8, 19, 21
2014/10/11, 56, 52, , 7, 21, 21
2014/10/12, 57, 49, , 6, 8, 20
2014/10/13, 53, 44, , 9, 9, 16
2014/10/14, 46, 52, , 11, 4, 17
2014/10/15, 56, 37, , 7, 7, 15
2014/10/16, 35, 27, , 6, 8, 15
2014/10/17, 28, 46, , 4, 16, 15
2014/10/18, 48, 35, , 4, 4, 15
2014/10/19, 35, 42, , 7, 7, 18
2014/10/20, 45, 32, , 8, 5, 17
2014/10/21, 44, 34, , 3, 8, 18
2014/10/22, 50, 43, , 3, 11, 19
2014/10/23, 55, 59, , 8, 6, 19
2014/10/24, 58, 59, , 6, 7, 14
2014/10/25, 64, 55, , 9, 5, 13
2014/10/26, 63, 45, , 5, 8, 11
2014/10/27, 50, 28, , 6, 3, 11
2014/10/28, 32, 28, , 4, 3, 10
2014/10/29, 35, 34, , 6, 39, 31
2014/10/30, 46, 50, , 4, 22, 17
2014/10/31, 59, 44, , 6, 22, 18
2014/11/1, 51, 57, , 6, 28, 19
2014/11/2, 56, 50, , 4, 10, 15
2014/11/3, 53, 24, , 8, 5, 13
2014/11/4, 28, 55, , 5, 25, 16
2014/11/5, 61, 47, , 5, 9, 22
